number,name_anglicized,name_latin,title,region_anglicized,region_latin,fief_area,fief_latin,knights,knights_shared,villanos,commendatarios,held_from,held_from_latin,augmentum_knights,augmentum_knights_shared,augmentum_sergeant,augmentum_sergeant_shared,augmentum_crossbow,augmentum_crossbow_shared,augmentum_infantry,augmentum_infantry_shared,location
201,Hugh son of William,Hugo filius Guillelmi,,Mottola,,Mottola,,0.5,,,,,,0,1,,,,,,,
202,Richard son of Godfrey,Riccardus filius Goffridi,,Mottola,,Mottola,,0.25,,,,,,0,1,,,,,,,
205,Hugh of Tursa,Hugo de Tursa,,Castellaneta,,Castellaneta,,1,,,,,,2,,,,,,,,
206,Bartholomew,Bartholomeus,,Castellaneta,,Castellaneta,,0.5,,,,,,0,1,,,,,,,
207,John Mustaczus,Johannes Mustaczus,,Castellaneta,,Castellaneta,,0.3,,,,,,0,1,,,,,,,
208,John of Avellino,Johannes de Avellino,,Castellaneta,,Castellaneta,,0.5,,,,,,1,,,,,,,,
209,Raho son of Richard Basilius,Raho filius Riccardi Basilii,,Castellaneta,,Castellaneta,,0.5,,,,,,1,,,,,,,,
210,Robert son of Bisantius,Robbertus filius Bisantii,,Castellaneta,,Ginosa,,0.25,,,,,,0,1,,,,,,,
211,Roger Flamengus,Rogerius Flamengus,,Taranto,,Taranto,,3,,,,,,6,10,,,,,,,
212,Balthasar son of Glay,Balthasar filius Glay,,Taranto,,Taranto,,1,,,,,,2,,,,,,,,
213,Wife of William Piccardus,Mulier Guillelmi Piccardi,,Taranto,,Taranto,,1,,,,,,2,,,,,,,,
214,Scriba of Patricio,Scriba de Patricio,,Taranto,,Taranto,,1,,,,,,2,,,,,,,,
215,William Salvaius,Guillelmus Salvaius,,Taranto,,Taranto,,1,,,,,,3,,,,,,,,
216,Pontius,Pontius,,Taranto,,Taranto,,1,,,,,,2,,,,,,,,
217,Son of William Barrunus,Filius Guillelmi Barruni,,Taranto,,Taranto,,1,,,,,,2,,,,,,,,
218,Hugh of Guantedivilla,Hugonis de Guantedivilla,,Taranto,,Taranto,,2,,,,,,4,,,,,,,,
219,Mabel former wife (widow) of Roger of Berulo,Mabilie uxoris quondam Rogerius de Berulo,,Taranto,,Taranto,,1,,,,,,2,,,,,,,,
220,Jordan son of Rainald of Burges,Jordanus filius Raynaldi de Burges,,Taranto,,Taranto,,3,,,,,,6,,,,,,,,
221,Godfrey Francavilla,Goffridus de Francavilla,,Taranto,,Taranto,,0.5,,,,,,0,1,,,,,,,
222,Landulf son of Sichinulfus,Landulfus filius Sichinulfi,,Taranto,,Taranto,,0.5,,,,,,0,1,,,,,,,
223,Maraldicius,Maraldicius,,Taranto,,Taranto,,0.2,,,,,,0,1,,,,,,,
224,Son of Godfrey of Luciano,Filius Goffridi de Luciano,,Taranto,,Taranto,,0.25,,,,,,0.5,,,,,,,,
225,Punginata,Punginata,,Taranto,,Taranto,,0.14,,,,,,0.5,,,,,,,,
226,Son of Maroldus,Filius Maroldi,,Taranto,,Taranto,,0.3,,,,,,0,1,,,,,,,
227,Paganus of Benevento,Paganus de Benevento,,Oria,,Oria,,3,,,,,,6,,,,,,,,
228,Robert of Fraynella,Robberto de Fraynella,,Oria,,Oria,,4,,,,,,8,,,,,,,,
229,Bulfanaria mother of Robert of Oria,Bulfanaria mater Robberti de Oria,,Oria,,Oria,,1,,,,,,2,,,,,,,,
230,Robert of Alixano,Robberti de Alixano,,Oria,,Oria,,4,,,,,,8,,,,,,,,
231,Rainaldus of Palangonia,Raynaldus de Palangonia,,Oria,,Oria,,0.3,,,,,,0,1,,,,,,,
232,Stephan of Pulcellis,Stephanus de Pulcellis,,Oria,,Oria,,0.25,,,,,,0,1,,,,,,,
233,Son of Aczolinus,Filius Aczolini,,Oria,,Oria,,0.25,,,,,,0,1,,,,,,,
234,Son of Jordan of Aczo,Filie Jordani de Aczo,,Mesagne,,Mesagne,,1,,,,,,2,,,,,,,,
235,Aymericus Longobardus,Aymericus Longobardus,,Mesagne,,Mesagne,,0,,,,,,0,1,,,,,,,
236,Petronus,Petronus,,Brundusio,,Brundusio,,0.5,,,,,,1,,,,,,,,
237,Samson,Sanson,,Soleto,,Soleto,,1,,,,,,2,,,,,,,,
238,Roger Guaragnus,Rogerius Guaragnus,,Soleto,,Soleto,,2,,,,,,4,,,,,,,,
239,Stephan of Neritone,Stephanus de Neritone,,Soleto,,Soleto,,0.5,,,,,,1,,,,,,,,
240,Roger Flamengus,Rogerius Flamengus,,Soleto,,Soleto,,0.14,,,,,,0.25,,,,,,,,
241,Peregrine son of Sarolus,Peregrinus filius Saroli,,Soleto,,Soleto,,0.5,,,,,,1,,,,,,,,
242,Robert Guaragnus,Robbertus Guaragnus,,Otronto,,Otranto,,1.5,,,,,,3,,,,,,,,
243,Godfrey son of Durantus,Goffridus filius Duranti,,Otronto,,Otranto,,1.5,,,,,,3,,,,,,,,
244,Rainald of Trevento,Raynaldus de Trevento,,Otronto,,Otranto,,3,,,,,,6,,,,,,,,
245,Philip of Ostuno,Philippus de Ostuno,,Otronto,,Otranto,,3,,,,,,6,,,,,,,,
246,Godfrey Bonusvassallus,Goffridus Bonusvassallus,,Otronto,,Otranto,,1.5,,,,,,3,,,,,,,,
247,Godfrey of Episcopo,Goffridus de Episcopo,,Otronto,,Otranto,,1.5,,,,,,3,,,,,,,,
248,Eustace of Viles,Eustasius de Viles,,Otronto,,Otranto,,1,,,,,,2,,,,,,,,
249,Raul of Aversa,Rahul de Aversa,,Otronto,,Otranto,,1.5,,,,,,3,,,,,,,,
250,Roger Guarannus,Rogerius Guarannus,,Otronto,,Otranto,,1,,,,,,2,,,,,,,,
251,Erbet of Lanfrevilla,Erbet de Lanfrevilla,,Otronto,,Otranto,,2,,,,,,4,,,,,,,,
252,Raul Sachespee,Rahul Sachespee,,Otronto,,Otranto,,1.5,,,,,,3,,,,,,,,
253,Roger Flamengus,Rogerius Flamengus,,Otronto,,Otranto,,2,,,,,,4,,,,,,,,
254,Arnul son of Stephan,Arnul filius Stephani,,Otronto,,Otranto,,1.5,,,,,,3,,,,,,,,
255,Godfrey Bomundi,Goffridus Bomundi,,Otronto,,Otranto,,2.5,,,,,,5,,,,,,,,
256,Roger Guarannus,Rogerius Guarannus,,Otronto,,Otranto,,3,,,,,,6,,,,,,,,
257,Roger Guarannus,Rogerius Guarannus,,Otronto,,Otranto,,0.5,,,,,,1,,,,,,,,
258,Roger Guarannus,Rogerius Guarannus,,Otronto,,Otranto,,0.5,,,,,,1,,,,,,,,
259,Roger Guarannus,Rogerius Guarannus,,Otronto,,Otranto,,1,,,,,,2,,,,,,,,
260,Richard Guiscardi,Riccardus Guiscardi,,Otronto,,Otranto,,1,,,,,,2,,,,,,,,
261,Raul de Talla,Rahul de Talla,,Nardo,,Nardo,,2,,,,,,4,,,,,,,,
262,Marinus Longus,Marinus Longus,,Nardo,,Nardo,,2,,,,,,4,,,,,,,,
263,Thadeus son of Gervasius,Tadeus filius Gervasii,,Nardo,,Nardo,,1,,,,,,2,,,,,,,,
264,Bartholomew son of Stephanus of Neritone,Bartholomei filii Stephani de Neritone,,Nardo,,Nardo,,5,,,,,,10,10,,,,,,,
265,Paul son of Hugh,Paulus filius Hugonis,,Nardo,,Nardo,,3,,,,The King,,6,16,,,,,,,
266,Roger son of Manzus,Rogerius filius Manzi,,Nardo,,Nardo,,1,,,,Paulus filius Hugonis,,2,,,,,,,,
267,Wife of Roger Flandrensis (of Flanders?),Uxor Rogerii Flandrensis,,Nardo,,Nardo,,3,,,,,,6,,,,,,,,
268,Bohemond Salparum,Boamundus Salparum,,Salpi,,Salpi,,20,,,,,,25,50,,,,,,,
269,Liardus,Liardus,,Rapolla,,Rapolla,,1,,,,,,2,,,,,,,,
270,Samson of Rapolla,Sanson de Rapolla,,Rapolla,,Rapolla,,1,,,,,,2,,,,,,,,
271,Guy of Rocca,Guido de Rocca,,Rapolla,,Rapolla,,1,,,,,,2,,,,,,,,
272,Palagimus,Palagimus,,Tressanti,,,,0,,,,,,2,,,,,,,,
273,William son of Maynerius,Guillelmus filius Maynerii,,Tressanti,,,,1,,,,,,2,,,,,,,,
274,Richard son of Orrisius,Riccardus filius Orrisii,,Tressanti,,,,1,,,,,,2,,,,,,,,
275,Achilles,Acchilles,,Tressanti,,,,1,,,,,,2,,,,,,,,
276,Wife of Barensis,Uxor Barensis,,Tressanti,,,,0.5,,,,,,1,,,,,,,,
277,Leo of Fogia,Leo de Fogia,,Tressanti,,Panni,,2,,,,,,4,8,,,,,,,
278,Roger Marescalcus,Rogerius Marescalcus,,Ripacandida,,Ripacandida,,3,,,,,,6,,,,,,,,
279,Matthew grandson of Leo the priest,Matheus nepos presbiteri Leonis,,Ripacandida,,,,0,,4,,,,1,,,,,,,,
280,Robert Guimundi,Robbertus Guimundi,,Ripacandida,,,,0,,2,,,,1,,,,,,,,
281,Joscelin,Joczolinus,,Ripacandida,,,,0,,,,,,1,,,,,,,,
282,Pantaleon,Pantaleon,,Ripacandida,,,,0,,,,,,0,1,,,,,,,
283,Andrew Guarnerii,Andreas Guarnerii,,Ripacandida,,,,0,,,,,,0,1,,,,,,,
284,William brother of Panteleon,Guillelmus frater Panteleonis,,Ripacandida,,,,0,,,,,,0,1,,,,,,,
285,Gregory,Gregorius,,Ripacandida,,,,0,,,,,,0,1,,,,,,,
286,Robert,Robbertus,,Ripacandida,,,,0,,,,,,0,1,,,,,,,
287,Gregory Montanarius,Gregorius Montanarius,,Ripacandida,,,,0,,,,,,0,1,,,,,,,
288,Ugo son of Ugerius,Ugo filius Ugerii,,Ripacandida,,,,0,,,,,,0,1,,,,,,,
289,Peter Cetilla,Petrus Cetilla,,Ripacandida,,,,0,,,,,,0,1,,,,,,,
290,William (unknown relationship to (son?)) Leo the priest,Guillelmus presbiteri Leonis,,Ripacandida,,,,0,,,,,,0,1,,,,,,,
291,Richard son of Richard,Riccardus filius Riccardi,,Contra et Flumara,,Trevico,,2,,,,,,20,0,,80,,,,,
291,Richard son of Richard,Riccardus filius Riccardi,,Contra et Flumara,,Contra,,2,,,,,,,,,,,,,,
291,Richard son of Richard,Riccardus filius Riccardi,,Contra et Flumara,,Flumeri,,4,,,,,,,,,,,,,,
291,Richard son of Richard,Riccardus filius Riccardi,,Contra et Flumara,,Vallata,,3,,,,,,,,,,,,,,
291,Richard son of Richard,Riccardus filius Riccardi,,Contra et Flumara,,Sant'Angelo,,2,,,,,,,,,,,,,,
292,Walter,Gualterius,,Contra et Flumara,,Montaguto,,1,,,,,,0,,,,,,,,
293,Guarinus of Vallata,Guarinus de Vallata,,Contra et Flumara,,Petram Piczulam,,0,,,,,,1,,,,,,,,
294,Robert Casertanus,Robbertus Casertanus,Count,Mandra et Pulcarinum,,Mandra,,3,,,,,,3,,,,,,,,
294,Robert Casertanus,Robbertus Casertanus,Count,Mandra et Pulcarinum,,Villanova del Battista,,0,,,,,,,,,,,,,,
295,Philip of Civitate,Philippus de Civitate,Count,Campomarino,,Campomarino,,6,,,,,,62,181,,,,,,,
295,Philip of Civitate,Philippus de Civitate,Count,Campomarino,,Tertiveri,,4,,,,,,,,,,,,,,
295,Philip of Civitate,Philippus de Civitate,Count,Campomarino,,Motta Montecorvino,,3,,,,,,,,,,,,,,
295,Philip of Civitate,Philippus de Civitate,Count,Campomarino,,Pietra Montecorvino,,2,,,,,,,,,,,,,,
295,Philip of Civitate,Philippus de Civitate,Count,Campomarino,,Volturara Appula,,2,,,,,,,,,,,,,,
295,Philip of Civitate,Philippus de Civitate,Count,Campomarino,,Tufara,,1,,,,,,,,,,,,,,
295,Philip of Civitate,Philippus de Civitate,Count,Campomarino,,Riccia,,2,,,,,,,,,,,,,,
295,Philip of Civitate,Philippus de Civitate,Count,Campomarino,,Macchia Valfortore,,2,,,,,,,,,,,,,,
295,Philip of Civitate,Philippus de Civitate,Count,Campomarino,,Castelvetere in Val Fortore,,1,,,,,,,,,,,,,,
295,Philip of Civitate,Philippus de Civitate,Count,Campomarino,,S. Giovanni Maggiore,,2,,,,,,,,,,,,,,
296,William of Riccaro,Guillelmus de Riccaro,,Campomarino,,Biccari,,3,,,,,,3,10,,,,,,,
297,Pinabellus,Pinabellus,,Campomarino,,Casaldianni,,2,,,,,,4,,,,,,,,
298,Richard of Guasto,Riccardus de Guasto,,Campomarino,,Gesterna,,2,,,,,,8,10,,,,,,,
298,Richard of Guasto,Riccardus de Guasto,,Campomarino,,Pietracatella,,0,,,,,,,,,,,,,,
298,Richard of Guasto,Riccardus de Guasto,,Campomarino,,Catello con Casali,,0,,,,,,,,,,,,,,
298,Richard of Guasto,Riccardus de Guasto,,Campomarino,,Porcara,,1,,,,,,,,,,,,,,
298,Richard of Guasto,Riccardus de Guasto,,Campomarino,,Monacilioni,,1,,,,,,,,,,,,,,
299,William of Guasto,Guillelmus de Guasto,,Campomarino,,,,1,,,,Riccardus de Guasto,,2,,,,,,,,
300,Drumanus,Drumanus,,Campomarino,,Tufara,,1,,,,Riccardus de Guasto,,1,,,,,,,,
301,Gervasius of Catella,Gervasius de Catella,,Campomarino,,,,1,,,,Riccardus de Guasto,,2,,,,,,,,
302,Richard son of Raen of Pede Celter,Riccardus filius Raen de Pede Celter,,Campomarino,,Podo Clar,,1,,,,Riccardus de Guasto,,1,,,,,,,,
303,Sardus of Castellomagno,Sardus de Castellomagno,,Campomarino,,Castellomanno,,1,,,,,,2,4,,,,,,,
304,Guarmund,Guarmundus,,Campomarino,,Auguzzone,,1.5,,,,,,3,4,,,,,,,
305,Guarmund,Guarmundus,,Campomarino,,Civitella de Gildone,,1,,,,,,2,4,,,,,,,
306,Ubertus of St. Angelo,Ubertus de Sancto Angelo,,Campomarino,,S. Angelo di Radiginosa,,2,,,,,,4,,,,,,,,
307,The same Ubertus,Idem Ubertus,,Campomarino,,Castelpagano,,2,,,,The King,,5,4,,,,,,,
307,The same Ubertus,Idem Ubertus,,Campomarino,,Ilice,,0.5,,,,The King,,,,,,,,,,
308,Carsidoneus,Carsidoneus,,Campomarino,,Uberto Serrecellam,,1,,,,,,12,8,,,,,,,
308,Carsidoneus,Carsidoneus,,Campomarino,,Uberti,,5,,,,,,,,,,,,,,
309,Roger Follisville,Rogerius Follisville,,Campomarino,,Ripa de Alterno,,3,,,,,,6,,,,,,,,
310,Alferius of Montis Sarraceni,Alferius Montis Sarraceni,,Campomarino,,Monte Saraceno,,3,,,,,,6,6,,,,,,,
310,Alferius Montis Sarraceni,Alferius Montis Sarraceni,,Campomarino,,Casalbore,,0,,,,,,,,,,,,,,
311,Robert Sancti Acapiti,Robbertus Sancti Acapiti,,Campomarino,,Gildone,,2,,,,,,0,,,,,,,,
312,Novellonus and Arabitus,Novellonus et Arabitus,,Campomarino,,Castelvetere in Val Fortore,,1,,,,,,6,6,,,,,,,
313,Sicinulfus,Sicinulfus,,Campomarino,,Celle S. Vito,,1,,,,,,2,,,,,,,,
314,Matthew of Guadelino,Matheus de Guadelino,,Campomarino,,Val Fortore,,2,,,,,,4,,,,,,,,
315,Roger of Fenuculo,Rogerius de Fenuculo,,Campomarino,,Casalfano,,1.5,,,,,,3,10,,,,,,,
316,Guy son of Richard,Guido filius Riccardi,,Campomarino,,Civitella di Bonefro,,1,,,,Rogerius de Fenuculo,,2,,,,,,,,
317,Richard of St. Angelo,Riccardus de Sancto Angelo,,Campomarino,,Montelongo,,1,,,,Rogerius de Fenuculo,,2,,,,,,,,
318,Richard Follicte,Riccardus Follicte,,Campomarino,,,,1,,,,Rogerius de Fenuculo,,2,,,,,,,,
319,Gualaramus,Gualaramus,,Campomarino,,Bonefro,,1.5,,,,Rogerius de Fenuculo,,3,10,,,,,,,
320,Robert of Boctio,Robbertus de Boctio,,Campomarino,,Bosco Vetrosello,,1,,,,,,2,,,,,,,,
321,Nicholas son of Hector,Nicolaus filius Hectoris,,Campomarino,,Casalorda,,2,,,,,,4,,,,,,,,
322,Roger Draco,Rogerius Draco,,Campomarino,,Foiano di Val Fortore,,2,,,,,,4,6,,,,,,,
322,Roger Draco,Rogerius Draco,,Campomarino,,Decorata,,0,,,,,,,,,,,,,,
323,"Guarmund, William Potofrancus","Guarmundus, Guillelmus Potofrancus",,Campomarino,,Montefalcone di Val Fortore,,2,,,,,,3,6,,,,,,,
323,"Guarmund, William Potofrancus","Guarmundus, Guillelmus Potofrancus",,Campomarino,,Roseto Val Fortore,,1,,,,,,,,,,,,,,
324,Ramfre,Ramfre,,Campomarino,,Castelfranco,,1,,,,Guarmundus,,2,4,,,,,,,
325,Raul de Devia,Raul de Devia,,Campomarino,,Ripitella,,2,,,,,,4,,,,,,,,
325,Raul de Devia,Raul de Devia,,Campomarino,,Maglianello,,0,,,,,,,,,,,,,,
326,Brunamons,Brunamons,,Campomarino,,V. Chiusano,,1,,,,,,2,2,,,,,,,
327,Scoctus son of Adenulfus Scoctus,Scoctus filius Adenulfi Scocti,,Campomarino,,Treselonis,,1,,,,,,2,,,,,,,,
328,Malfridus Campanarius,Malfridus Campanarius,,Campomarino,,Campanarium,,1,,,,,,2,,,,,,,,
329,Robert Drago,Robbertus Drago,,Campomarino,,Baselice,,1,,,,,,2,,,,,,,,
330,Robert of Ponte,Robbertus de Ponte,,Campomarino,,Cercemaggiore,,2,,,,,,4,6,,,,,,,
330,Robert of Ponte,Robbertus de Ponte,,Campomarino,,Toppo della Vipera,,,,,,,,,,,,,,,,
330,Robert of Ponte,Robbertus de Ponte,,Campomarino,,Cuffiano,,,,,,,,,,,,,,,,
331,Raul Alamagnus,Raul Alamagnus,,Campomarino,,S. Croce del Sannio,,1,,,,,,8,15,,,,,,,
331,Raul Alamagnus,Raul Alamagnus,,Campomarino,,Casalvatico,,1,,,,,,,,,,,,,,
331,Raul Alamagnus,Raul Alamagnus,,Campomarino,,Pectarium,,1,,,,,,,,,,,,,,
332,Robert of Partenico,Robbertus de Partenico,,Campomarino,,Cuffiano,,1,,,,Raul Alamagnus,,4,,,,,,,,
332,Robert of Partenico,Robbertus de Partenico,,Campomarino,,Montaguto,,1,,,,Raul Alamagnus,,,,,,,,,,
333,Raul Alamagnus,Raul Alamagnus,,Campomarino,,Circello,,1,,,,Raul Alamagnus,,2,6,,,,,,,
334,The same Raul,Idem Raul,,Campomarino,,S. Marie de Rocca,,0.5,,,,Raul Alamagnus,,1,,,,,,,,
335,Alferius Gambatesus,Alferius Gambatesus,,Campomarino,,Gambatesa,,1,,,,Raul Alamagnus,,2,,,,,,,,
336,Lucas of Quatrano,Lucas de Quatrano,,Campomarino,,Colle Quadrano,,1,,,,Raul Alamagnus,,2,,,,,,,,
337,Roffridus of Mt. Nigro,Roffridus Montis Nigri,,Campomarino,,Monte Nigro,,0.5,,,,,,1,2,,,,,,,
338,Malfredus,Malfredus,,Campomarino,,Campum Nigrum,,1,,,,Comes Philippus de Civitate,,2,,,,,,,,
339,Gerald of Ysay,Giroldus de Ysay,,Campomarino,,S. Angelo in Vico,,0.5,,,,,,1,2,,,,,,,
340,Hugh son of Actus,Hugo filius Acti,,Campomarino,,Ducata de Sala,,1,,,,,,2,10,,,,,,,
341,"Robert of Larocca, Robert Maynerius, Rainald of Mt. Dragonis, Hugh, Elias, Henry of Laysa, Robert of Laysa","Robbertus de Larocca, Robbertus Maynerius, Raynaldus Montis Dragonis, Hugo, Elias, Henricus de Laysa, Robbertus de Laysa",,Campomarino,,Montefalcone del Sannio,,2,,,,Hugo filius Acti,,4,10,,,,,,,
342,Matthew of Lavelano,Matheus de Lavelano,,Campomarino,,Avellanum,,1,,,,Hugo filius Acti,,2,,,,,,,,
343,Leo of Fogia,Leo de Fogia,,Campomarino,,Panni,,1,,,,,,2,4,,,,,,,
357,Raul of Devia,Raul de Devia,,Rotello,,Devia,,2,,,,,,4,,,,,,,,
358,"The same Raul (not the same as ""the same Raul"" above)",Idem Raul,,Rotello,,,,5,,,,Comitato Loritelli,,17,40,,,,,,,
359,William of Rocca,Guillelmus de Rocca,,Rotello,,Montorio nei Frentani,,2,,,,,,4,6,,,,,,,
360,Almeric Martellus,Almericus Martellus,,Rotello,,Porticchio,,1,,,,,,2,,,,,,,,
361,Robert Malvicinus,Robbertus Malvicinus,,Rotello,,Russola,,1,,,,,,2,,,,,,,,
362,William of Scalfo,Guillelmus de Scalfo,,Rotello,,Madonna di Bisaccia,,3,,,,,,8,30,,,,,,,
362,William of Scalfo,Guillelmus de Scalfo,,Rotello,,Mentem Cilfone,,1,,,,,,,,,,,,,,
362,William of Scalfo,Guillelmus de Scalfo,,Rotello,,Serramanni,,1,,,,,,,,,,,,,,
362,William of Scalfo,Guillelmus de Scalfo,,Rotello,,Guglionesi,,1,,,,,,,,,,,,,,
362,William of Scalfo,Guillelmus de Scalfo,,Rotello,,Colle di Pietra Fracida,,1,,,,,,,,,,,,,,
362,William of Scalfo,Guillelmus de Scalfo,,Rotello,,Pantanellam,,1,,,,,,,,,,,,,,
363,William of Sclavo,Guillelmus de Sclavo,,Rotello,,Montebello,,0.5,,,,The King,,3,,,,,,,,
363,William of Sclavo,Guillelmus de Sclavo,,Rotello,,Casale Portellano,,1,,,,The King,,,,,,,,,,
364,Richard of Granara,Riccardus de Granara,,Rotello,,Vieste,,0,,,,,,1,,,,,,,,
365,Benjamin,Benyamin,,Rotello,,Sancto Petro Veterano,,1,,,,,,1,,,,,,,,
366,Matthew of St. Peter,Matheus Sancti Petri,,Rotello,,Sancto Petro,,1,,,,,,1,,,,,,,,
367,Nicholas son of Hector,Nicolaus filius Extoris,,Rotello,,Visciglieto,,3,,,,The King,,8,,,,,,,,
367,Nicholas son of Hector,Nicolaus filius Extoris,,Rotello,,Sancto Jocobo,,1,,,,The King,,,,,,,,,,
367,Nicholas son of Hector,Nicolaus filius Extoris,,Rotello,,Torre Fiorentino,,0,,,,The King,,,,,,,,,,
368,Gualdinus Malacorona,Gualdinus Malacorona,,Rotello,,Casalnuovo,,1,,,,,,2,,,,,,,,
368,Gualdinus Malacorona,Gualdinus Malacorona,,Rotello,,Aventitiis,,0.5,,,,,,,,,,,,,,
369,Aliduca Marrune,Aliduca Marrune,,Rotello,,La Marana,,1,,,,,,2,,,,,,,,
370,Curia ,Curia ,,Rotello,,del Candelaro,,2,,,,,,4,10,,,,,,,
371,Phillip of Lacupensili,Phillipus de Lacupensili,,Rotello,,,,2,,,,,,4,,,,,,,,
372,Godfrey of Bestia,Goffridi de Bestia,,Rotello,,,,1,,,,,,2,,,,,,,,
373,Wife of Ursellus,Uxor Urselli,,Rotello,,Vena Maggiore,,2,,,,,,4,,,,,,,,
374,Richard son of William,Riccardus filius Guillelmi,,Rotello,,,,1,,,,,,2,,,,,,,,
375,Wife of Russus of Ymbriata,Uxor Russi de Ymbriata,,Rotello,,Ponte di Lamis,,2,,,,,,4,10,,,,,,,
376,Terra,Terra,,S. Johannes Lama,,,,4,,,,,,8,100,,,,,,,
377,Gosfridus Alesine,Gosfridus Alesine,Count,S. Johannes Lama,,Perchici,,5,,,,The King,,20,100,,,,,,,
377,Gosfridus Alesine,Gosfridus Alesine,Count,S. Johannes Lama,,Vico del Gargano,,2,,,,The King,,,,,,,,,,
377,Gosfridus Alesine,Gosfridus Alesine,Count,S. Johannes Lama,,Carpino,,3,,,,The King,,,,,,,,,,
377,Gosfridus Alesine,Gosfridus Alesine,Count,S. Johannes Lama,,Foce di Varano,,2,,,,The King,,,,,,,,,,
377,Gosfridus Alesine,Gosfridus Alesine,Count,S. Johannes Lama,,Monte Sant'Angelo,,1,,,,The King,,,,,,,,,,
378,Berard son of Orrisius,Berardus filius Orrisii,,S. Johannes Lama,,Rotello,,2,,,,The King,,0,,,,,,,,
379,Curia ,Curia ,,S. Johannes Lama,,Ilice,,1,,,,,,6,10,,,,,,,
380,,,,S. Johannes Lama,,,,,,,,,,,,,,,,,,
381,William Pontem,Guillelmo Pontem,,S. Johannes Lama,,Pontelandolfo,,2,,,,Comes Gosfridus Alesine,,4,,,,,,,,
382,William of St. Fraymundus,Guillelmi Sancti Fraymundi,,S. Johannes Lama,,,,0,,,,Comes Gosfridus Alesine,,6,,,,,,,,
382,Total Count,Comitis total,,S. Johannes Lama,,,,47,,,,,,53,82,2,,,,,,
426,Hugh son of Fulcerius and Simon son Roger,Hugo filius Fulcerii et Symon filius Rogerii,,Montefusco,,Pietramaggiore,,2,,,,,,4,,,,,,,,
427,Hugh son of Fulcerius,Hugo filius Fulcerii,,Montefusco,,Pietramaggiore,,0,,15,,,,1,,,,,,,,
427,Hugh son of Fulcerius,Hugo filius Fulcerii,,Montefusco,,S. Andrea,,1,,,,,,2,,,,,,,,
428,William of Funtana Rosa,Guillelmus de Funtana Rosa,,Montefusco,,Paduli,,1,,,,,,4,10,,,,,,,
428,William of Funtana Rosa,Guillelmus de Funtana Rosa,,Montefusco,,S. Arengelo Trimonte,,1,,,,,,,,,,,,,,
428,William of Funtana Rosa,Guillelmus de Funtana Rosa,,Montefusco,,San Lupo,,1,,,,,,,,,,,,,,
429,Alfanus Camerarius,Alfanus Camerarius,,Montefusco,,Morrone,,1,,,,,,2,4,,,,,,,
430,Raho of Furrio Novo,Raho de Furrio Novo,,Montefusco,,,,1,,,,,,2,,,,,,,,
431,Savarinus of Terra Rubea,Savarinus de Terra Rubea,,Montefusco,,Paduli,,1,,,,,,2,,,,,,,,
432,Amorammus ,Amorammus ,,Montefusco,,Pescolamazza,,2,,,,,,2,10,,,,,,,
433,Richard of Balbano,Riccardus de Balbano,,Montefusco,,Torre della Cisterna,,6,,,,The King,,40,60,,,,,,,
433,Richard of Balbano,Riccardus de Balbano,,Montefusco,,Rocchetta S. Antonio,,5,,,,The King,,,,,,,,,,
433,Richard of Balbano,Riccardus de Balbano,,Montefusco,,Lacedonia,,0,,,,The King,,,,,,,,,,
433,Richard of Balbano,Riccardus de Balbano,,Montefusco,,Monteverde,,4,,,,The King,,,,,,,,,,
433,Richard of Balbano,Riccardus de Balbano,,Montefusco,,Armaterra,,2,,,,The King,,,,,,,,,,
433,Richard of Balbano,Riccardus de Balbano,,Montefusco,,Vitalba,,3,,,,The King,,,,,,,,,,
434,Samson of Barulo,Sanson de Barulo,,Montefusco,,di Francavilia,,5,,,,,,7,30,,,,,,,
435,Richard of Genzano,Riccardus de Genzano,,Montefusco,,,,1,,,,Sanson de Barulo,,2,,,,,,,,
436,Godfrey of Francavilla,Goffridus de Francavilla,,Montefusco,,,,1,,,,,,1,,,,,,,,
455,Raul son of Roger Camerote,Raul filii Rogerii Camerote,,Principality,,,,3,,,,,,6,,,,,,,,
456,Ebolus Camerarius,Ebolus Camerarius,,Principality,,Magliano Vetere,,0.5,,,,Florius de Camerota,,1,,,,,,,,
457,Robert Salvaticus,Robertus Salvaticus,,Principality,,,,1.5,,,,Florius de Camerota,,3,,,,,,,,
458,The same Florius,Idem Florius,,Principality,,,,2,,,,Florius de Camerota,,4,,,,,,,,
459,Roger Petictus,Rogerius Petictus,,Principality,,,,2,,,,Florius de Camerota,,4,,,,,,,,
460,Godfrey son of Roger of Camerota,Goffridi filii Rogerii de Camerota,,Principality,,,,3,,,,,,6,10,,,,,,,
462,Baylardi Camerarius,Baylardi Camerarii,,Principality,,,,1,,,,The King,,3,,,,,,,,
463,Tancred of Altavilla,Tancredus de Altavilla,,Principality,,Felitto,,5,,,,,,8,30,,,,,,,
463,Tancred of Altavilla,Tancredus de Altavilla,,Principality,,Altavilla Silentina,,0,,,,,,,,,,,,,,
464,Tancred of Altavilla,Tancredus de Altavilla,,Principality,,Castel San Lorenzo,,1,,,,,,4,12,,,,,,,
464,Tancred of Altavilla,Tancredus de Altavilla,,Principality,,Castellum Laurenti,,1,,,,,,,,,,,,,,
465,Malgerius Alterville,Malgerius Alterville,,Principality,,Polla,,3,,,,The King,,6,10,,,,,,,
